ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2891,2020,2019全年,20'06/19,20'07/13,19.9,21'02/24,152,20'08/07,,,,,1,0,1,0,0,0,1
1,2891,2019,2018全年,19'06/14,19'07/15,20.6,19'11/06,78,19'08/09,,,,,1,0,1,0,0,0,1
2,2891,2018,2017全年,18'06/15,18'07/09,20.4,18'08/06,21,18'08/03,,,,,1.08,0,1.08,0,0,0,1.08
3,2891,2017,2016全年,17'06/16,17'07/17,19.7,18'01/04,121,17'08/11,,,,,0.85,0.15,1,0,0,0,1
4,2891,2016,2015全年,16'06/24,16'07/29,17.6,16'08/17,14,16'08/26,16'10/12,16.8,16'12/12,44,0.81,0,0.81,0.8,0,0.8,1.61
5,2891,2015,2014全年,15'06/29,15'08/06,21.4,,,15'08/31,15'08/06,21.4,,,0.81,0,0.81,0.81,0,0.81,1.62
6,2891,2014,2013全年,14'06/20,14'07/09,19.65,14'07/09,1,,14'09/18,20.9,15'04/14,138,0.38,0,0.38,0.37,0,0.37,0.75
7,2891,2013,2012全年,13'06/21,13'07/17,18.55,13'07/22,4,,13'02/19,18.1,13'03/07,13,0.71,0,0.71,0.7,0,0.7,1.41
8,2891,2012,2011全年,12'06/28,12'07/17,16.9,12'07/17,1,,12'09/18,17.45,13'05/31,172,0.4,0,0.4,0.88,0,0.88,1.28
9,2891,2011,2010全年,11'06/10,11'07/19,26.15,11'07/27,7,,11'09/13,20.8,15'04/15,886,0.73,0,0.73,0.72,0,0.72,1.45
10,2891,2010,2009全年,10'06/30,10'07/29,18.75,10'08/02,3,,10'08/31,17.9,10'09/06,5,0.64,0,0.64,0.39,0.25,0.64,1.28
11,2891,2009,2008全年,09'06/26,09'07/16,20,09'07/16,1,,09'09/04,19,09'09/07,2,0.18,0,0.18,0,0.32,0.32,0.5
12,2891,2008,2007全年,08'06/13,08'07/03,25.15,08'07/07,3,,08'09/01,18.9,09'05/11,171,0.2,0,0.2,0.4,0.4,0.8,1
13,2891,2007,2006全年,07'06/15,,,,,,,,,,0,0,0,0,0,0,0
14,2891,2006,2005全年,06'06/09,06'07/06,25.8,06'07/12,5,,06'08/09,22.15,06'09/18,29,0.5,0,0.5,1.2,0,1.2,1.7
15,2891,2005,2004全年,05'06/10,05'07/14,33.4,05'07/15,2,,05'08/24,31.45,,,1,0,1,0.8,1.11,1.91,2.9
16,2891,2004,2003全年,04'06/11,04'07/12,35.9,04'08/23,31,,04'08/25,,04'09/07,9,1.1,0,1.1,0,0.6,0.6,1.7
17,2891,2003,2002全年,03'06/06,03'07/03,27.4,03'08/18,33,,03'08/21,25.9,03'09/01,8,1,0,1,0.1,1,1.1,2.1
