ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2377,2020,2019全年,,20'08/24,145,20'09/03,9,20'09/18,,,,,4.2,0,4.2,0,0,0,4.2
1,2377,2019,2018全年,19'06/14,19'08/26,83.8,19'09/09,11,19'09/20,,,,,4.5,0.5,5,0,0,0,5
2,2377,2018,2017全年,18'06/15,18'08/22,95.4,18'08/23,2,18'09/20,,,,,4.5,0,4.5,0,0,0,4.5
3,2377,2017,2016全年,17'06/15,17'08/16,70.4,17'10/20,46,17'09/15,,,,,3.5,1,4.5,0,0,0,4.5
4,2377,2016,2015全年,16'06/16,16'08/16,65.5,16'08/17,2,16'09/14,,,,,2.5,1,3.5,0,0,0,3.5
5,2377,2015,2014全年,15'06/12,15'08/12,26.45,15'10/06,38,15'09/18,,,,,3,0,3,0,0,0,3
6,2377,2014,2013全年,14'06/17,14'08/13,40.1,14'08/13,1,14'09/19,,,,,2,0,2,0,0,0,2
7,2377,2013,2012全年,13'06/18,13'08/13,16.65,13'08/26,9,,,,,,0.3,0.8,1.1,0,0,0,1.1
8,2377,2012,2011全年,12'06/15,12'08/09,13,12'08/20,8,,,,,,0.42,0.63,1.05,0,0,0,1.05
9,2377,2011,2010全年,11'06/09,11'08/09,11.6,11'08/11,3,,,,,,0.53,0,0.53,0,0,0,0.53
10,2377,2010,2009全年,10'06/10,10'08/05,17.65,10'12/27,102,,,,,,0.5,0,0.5,0,0,0,0.5
11,2377,2009,2008全年,09'06/16,09'08/06,19.9,09'08/10,2,,09'08/06,19.9,09'08/10,2,0.5,0,0.5,0.5,0,0.5,1
12,2377,2008,2007全年,08'06/11,08'08/07,17.25,08'08/11,3,,08'08/07,17.25,08'08/11,3,0.8,0,0.8,0.4,0,0.4,1.2
13,2377,2007,2006全年,07'06/13,07'08/09,27.9,07'08/10,2,,07'08/09,27.9,07'08/10,2,0.6,0,0.6,0.6,0,0.6,1.2
14,2377,2006,2005全年,06'06/14,06'08/10,15.95,06'10/27,55,,06'08/10,15.95,06'10/27,55,0.5,0,0.5,1.1,0,1.1,1.6
15,2377,2005,2004全年,05'06/14,05'08/24,20.55,05'10/05,30,,05'08/24,20.55,05'10/05,30,0.2,0,0.2,0.3,0,0.3,0.5
16,2377,2004,2003全年,04'06/09,04'08/09,24.35,04'08/09,1,,04'08/09,24.35,04'08/09,1,1,0,1,1,0,1,2
17,2377,2003,2002全年,03'05/28,03'08/21,62.5,16'08/30,3231,,03'08/21,62.5,16'08/30,3231,0.98,0,0.98,1.47,0,1.47,2.45
18,2377,2002,2001全年,02'05/16,02'06/14,95.5,20'07/21,4478,,02'06/14,95.5,20'07/21,4478,1,0,1,3.5,0,3.5,4.5
19,2377,2001,2000全年,01'05/10,01'06/07,84.02,01'11/30,120,,01'06/07,84.02,01'11/30,120,1.5,0,1.5,2.5,0,2.5,4
20,2377,2000,1999全年,00'05/04,,,,,,00'07/05,158,00'07/05,1,0,0,0,4.5,0,4.5,4.5
21,2377,1999,1998全年,99'05/20,,,,,,,,,,0,0,0,4,0,4,4
22,2377,1998,1997全年,98'02/28,,,,,,98'03/25,,,,0,0,0,4,1,5,5
23,2377,1997,1996全年,,,,,,,,,,,0,0,0,6,0,6,6
24,2377,1996,1995全年,,,,,,,,,,,0,0,0,5,0,5,5
25,2377,1995,1994全年,,,,,,,,,,,0,0,0,0,0,0,0
26,2377,1994,1993全年,,,,,,,,,,,0,0,0,0,0,0,0
27,2377,1993,1992全年,,,,,,,,,,,0,0,0,0,0,0,0
