ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2615,2020,2019全年,20'06/23,20'08/27,21.3,20'08/31,3,20'09/17,,,,,0.8,0,0.8,0,0,0,0.8
1,2615,2019,2018全年,19'06/18,19'07/12,18.85,19'07/22,7,19'08/06,,,,,0.61,0,0.61,0,0,0,0.61
2,2615,2018,2017全年,18'06/26,18'07/16,16.7,18'07/18,3,18'08/08,,,,,0.5,0,0.5,0,0,0,0.5
3,2615,2017,2016全年,17'06/22,17'08/30,20,17'08/30,1,17'09/20,,,,,0.4,0,0.4,0,0,0,0.4
4,2615,2016,2015全年,16'06/29,16'07/18,16.75,17'01/11,123,16'08/10,,,,,1.2,0,1.2,0,0,0,1.2
5,2615,2015,2014全年,15'06/12,15'07/14,24.05,15'07/27,10,15'08/14,,,,,2,0,2,0,0,0,2
6,2615,2014,2013全年,14'06/18,14'09/02,19,14'09/05,4,14'09/24,,,,,0.8,0,0.8,0,0,0,0.8
7,2615,2013,2012全年,13'06/14,13'07/08,15,13'07/10,3,,,,,,0.27,0.53,0.8,0,0,0,0.8
8,2615,2012,2011全年,12'06/27,,,,,,,,,,0,0,0,0,0,0,0
9,2615,2011,2010全年,11'06/24,11'08/09,15.5,12'03/01,138,,11'08/09,15.5,12'03/01,138,1.06,0,1.06,0.5,0,0.5,1.56
10,2615,2010,2009全年,10'06/18,,,,,,,,,,0,0,0,0,0,0,0
11,2615,2009,2008全年,09'06/19,,,,,,,,,,0,0,0,0,0,0,0
12,2615,2008,2007全年,08'06/18,08'07/04,21.4,10'12/09,612,,08'08/14,17.25,09'05/19,189,2.2,0,2.2,0.5,0,0.5,2.7
13,2615,2007,2006全年,07'06/27,07'07/27,25.55,07'08/01,4,,,,,,1.09,0,1.09,0,0,0,1.09
14,2615,2006,2005全年,06'06/23,06'07/20,20,07'02/05,140,,06'08/24,17.8,06'10/16,36,2,0,2,1,0,1,3
15,2615,2005,2004全年,05'06/23,05'08/12,29.7,07'10/15,539,,05'08/30,27.25,07'10/12,526,2.49,0,2.49,0.95,0.05,1,3.49
16,2615,2004,2003全年,04'06/24,04'08/11,27.6,04'08/31,13,,04'08/11,27.6,04'08/31,13,2,0,2,0.5,0,0.5,2.5
17,2615,2003,2002全年,03'06/26,03'08/11,29.4,03'10/08,42,,03'08/11,29.4,03'10/08,42,1,0,1,1.48,0,1.48,2.48
18,2615,2002,2001全年,02'06/29,02'07/24,23.1,02'07/24,1,,,,,,0.4,0,0.4,0,0,0,0.4
19,2615,2001,2000全年,01'05/29,01'06/19,14.8,01'06/21,3,,01'07/12,14.85,01'08/15,24,1.09,0,1.09,0,0.16,0.16,1.25
20,2615,2000,1999全年,00'05/24,00'07/07,25.3,02'11/01,586,,00'07/07,21.1,02'11/01,586,0.5,0,0.5,0.81,1.19,2,2.5
21,2615,1999,1998全年,99'05/06,99'06/16,,20'11/26,5337,,99'06/16,,20'11/26,5337,1,0,1,1.5,0.5,2,3
22,2615,1998,1997全年,98'05/13,,,,,,98'06/23,37.2,98'11/19,115,0,0,0,1.5,1,2.5,2.5
23,2615,1997,1996全年,97'05/07,,,,,,97'06/20,,97'06/20,1,0,0,0,4.5,0,4.5,4.5
24,2615,1996,1995全年,96'05/13,96'06/15,,96'09/13,74,,96'06/15,,96'09/13,74,2,0,2,2.5,0,2.5,4.5
25,2615,1995,1994全年,,,,,,,,,,,2,0,2,0,0,0,2
26,2615,1994,1993全年,,,,,,,,,,,1,0,1,2,0,2,3
27,2615,1993,1992全年,,,,,,,,,,,0,0,0,2.75,0.7,3.45,3.45
