ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1102,2020,2019全年,20'06/23,20'07/23,43.3,,,20'08/18,,,,,3,0,3,0,0,0,3
1,1102,2019,2018全年,19'06/24,19'07/24,44,19'12/11,96,19'08/16,,,,,2.8,0,2.8,0,0,0,2.8
2,1102,2018,2017全年,18'06/26,18'08/30,44.2,19'06/03,183,18'09/28,,,,,1.2,0,1.2,0,0,0,1.2
3,1102,2017,2016全年,17'06/27,17'08/30,26.5,17'09/01,3,17'09/27,,,,,0.9,0,0.9,0,0,0,0.9
4,1102,2016,2015全年,16'06/21,16'08/31,29.1,17'02/23,117,16'09/30,,,,,1.1,0,1.1,0,0,0,1.1
5,1102,2015,2014全年,15'06/24,15'09/01,32.75,15'10/23,36,15'09/25,,,,,2.2,0,2.2,0,0,0,2.2
6,1102,2014,2013全年,14'06/16,14'08/28,41.15,18'08/14,973,14'09/25,14'08/28,41.15,18'08/14,973,1.8,0,1.8,0.2,0,0.2,2
7,1102,2013,2012全年,13'06/21,13'08/29,35.4,13'09/04,5,,13'08/29,35.4,13'09/04,5,1.7,0,1.7,0.2,0,0.2,1.9
8,1102,2012,2011全年,12'06/20,12'08/21,35.65,13'10/07,280,,12'08/21,35.65,13'10/07,280,2.3,0,2.3,0.3,0,0.3,2.6
9,1102,2011,2010全年,11'06/22,11'08/24,37.4,12'08/13,242,,11'08/24,37.4,12'08/13,242,1.9,0,1.9,0.2,0,0.2,2.1
10,1102,2010,2009全年,10'06/08,10'08/24,30.4,10'12/23,87,,10'08/24,30.4,10'12/23,87,1.8,0,1.8,0.3,0,0.3,2.1
11,1102,2009,2008全年,09'06/09,09'08/24,33.05,09'09/08,12,,09'08/24,33.05,09'09/08,12,1.8,0,1.8,0.3,0,0.3,2.1
12,1102,2008,2007全年,08'06/17,08'08/19,34.8,11'05/13,682,,08'08/19,34.8,11'05/13,682,2.4,0,2.4,0.6,0,0.6,3
13,1102,2007,2006全年,07'06/07,07'08/09,38.9,07'08/31,17,,07'08/09,38.9,07'08/31,17,1.5,0,1.5,0.8,0,0.8,2.3
14,1102,2006,2005全年,06'06/07,06'08/09,20.85,06'09/18,29,,06'08/09,20.85,06'09/18,29,1.2,0,1.2,0.8,0,0.8,2
15,1102,2005,2004全年,05'06/09,05'08/05,18.6,06'02/07,124,,05'08/05,18.6,06'02/07,124,1.2,0,1.2,0.8,0,0.8,2
16,1102,2004,2003全年,04'06/02,04'08/05,15.8,04'08/26,14,,04'08/05,15.8,04'08/26,14,0.65,0,0.65,0.65,0,0.65,1.3
17,1102,2003,2002全年,03'06/06,03'08/19,14.25,03'08/19,1,,,,,,0.5,0,0.5,0,0,0,0.5
18,1102,2002,2001全年,02'06/07,02'07/08,14.6,02'07/08,1,,,,,,0.2,0,0.2,0,0,0,0.2
19,1102,2001,2000全年,01'05/16,01'07/31,9.05,01'07/31,1,,01'07/31,9.05,01'07/31,1,0.25,0,0.25,0.05,0.2,0.25,0.5
20,1102,2000,1999全年,00'05/12,00'08/03,19.17,04'01/28,869,,00'08/03,19.17,04'01/28,869,0.6,0,0.6,0.9,0,0.9,1.5
21,1102,1999,1998全年,99'05/14,99'08/06,21.7,99'08/16,8,,99'08/06,21.7,99'08/16,8,0.3,0,0.3,1,0.2,1.2,1.5
22,1102,1998,1997全年,98'05/13,98'06/18,29.7,00'02/10,441,,98'06/18,29.7,00'02/10,441,1,0,1,1,0,1,2
23,1102,1997,1996全年,97'05/14,97'06/10,42.3,07'07/16,2588,,97'06/10,42.3,07'07/16,2588,0.8,0,0.8,0.8,0,0.8,1.6
24,1102,1996,1995全年,96'05/17,96'06/15,51.2,96'06/21,5,,96'06/15,49.07,96'06/21,5,1.3,0,1.3,0.7,0,0.7,2
25,1102,1995,1994全年,95'04/28,95'05/13,49.5,95'06/01,17,,95'07/14,48.6,96'06/21,271,1.5,0,1.5,1,0,1,2.5
26,1102,1994,1993全年,94'05/06,94'05/21,56.5,95'01/19,192,,94'07/23,52.31,95'01/18,141,2.5,0,2.5,0.8,0,0.8,3.3
27,1102,1993,1992全年,93'05/07,93'05/22,55.5,93'12/03,158,,93'07/22,46.82,93'11/03,85,2,0,2,1,0,1,3
28,1102,1992,1991全年,92'05/07,92'05/22,67.5,92'06/15,19,,92'07/14,59,93'03/04,177,2,0,2,1,0,1,3
29,1102,1991,1990全年,91'04/12,91'04/27,71,91'04/27,1,,91'07/27,64,91'08/10,13,2,0,2,1,0,1,3
30,1102,1990,1989全年,90'04/12,90'03/10,159,,,,90'06/23,85,,,2,0,2,1.95,0.05,2,4
31,1102,1989,1988全年,,,,,,,,,,,1.5,0,1.5,1.86,0.14,2,3.5
32,1102,1988,1987全年,,,,,,,,,,,1.1,0,1.1,1.89,0.31,2.2,3.3
33,1102,1987,1986全年,,,,,,,,,,,1,0,1,0.85,0.35,1.2,2.2
34,1102,1986,1985全年,,,,,,,,,,,1,0,1,0.65,0.35,1,2
35,1102,1985,1984全年,,,,,,,,,,,1,0,1,1,0.8,1.8,2.8
36,1102,1984,1983全年,,,,,,,,,,,1.3,0,1.3,1.3,1,2.3,3.6
