ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1215,2020,2019全年,,20'06/29,68.2,20'08/10,31,20'07/24,,,,,4,0,4,0,0,0,4
1,1215,2019,2018全年,19'06/26,19'07/15,66.4,19'07/22,6,19'08/12,,,,,3,0,3,0,0,0,3
2,1215,2018,2017全年,18'06/13,18'07/12,56.3,19'04/29,194,18'08/08,,,,,3,0,3,0,0,0,3
3,1215,2017,2016全年,17'06/15,17'07/03,71.6,17'07/04,2,17'07/28,,,,,3,0,3,0,0,0,3
4,1215,2016,2015全年,16'06/17,16'07/05,39.35,16'10/14,69,16'08/03,,,,,2,0,2,0,0,0,2
5,1215,2015,2014全年,15'06/17,15'08/19,21.9,16'03/14,138,15'09/15,15'08/19,21.9,16'03/14,138,1,0,1,1,0,1,2
6,1215,2014,2013全年,14'06/19,14'08/05,25.9,15'01/29,125,14'09/03,14'08/05,25.9,15'01/29,125,0.8,0,0.8,0.5,0,0.5,1.3
7,1215,2013,2012全年,13'06/21,13'07/09,15.45,14'02/26,157,,,,,,0.8,0,0.8,0,0,0,0.8
8,1215,2012,2011全年,12'06/21,12'07/10,13.2,12'07/10,1,,,,,,0.3,0,0.3,0,0,0,0.3
9,1215,2011,2010全年,11'06/15,11'07/04,18.2,14'03/13,668,,,,,,1,0,1,0,0,0,1
10,1215,2010,2009全年,10'06/18,10'07/07,17.55,10'07/19,9,,,,,,1,0,1,0,0,0,1
11,1215,2009,2008全年,09'06/19,09'07/08,16.75,09'08/14,27,,,,,,0.7,0,0.7,0,0,0,0.7
12,1215,2008,2007全年,08'06/19,08'07/09,17.1,08'07/14,4,,,,,,1,0,1,0,0,0,1
13,1215,2007,2006全年,07'06/28,07'07/16,15.4,07'07/16,1,,,,,,0.6,0,0.6,0,0,0,0.6
14,1215,2006,2005全年,06'06/20,,,,,,,,,,0,0,0,0,0,0,0
15,1215,2005,2004全年,05'06/14,,,,,,,,,,0,0,0,0,0,0,0
16,1215,2004,2003全年,04'06/08,,,,,,,,,,0,0,0,0,0,0,0
17,1215,2003,2002全年,03'06/27,,,,,,,,,,0,0,0,0,0,0,0
18,1215,2002,2001全年,02'06/18,02'07/16,,02'12/12,106,,,,,,0.5,0,0.5,0,0,0,0.5
19,1215,2001,2000全年,01'06/12,01'07/31,,01'12/07,89,,01'07/31,,01'12/07,89,0.55,0,0.55,0,0.15,0.15,0.7
20,1215,2000,1999全年,00'05/26,00'07/18,,07'01/03,1616,,00'07/18,,07'01/03,1616,0.9,0,0.9,0,0.2,0.2,1.1
21,1215,1999,1998全年,99'06/23,99'07/31,,99'08/18,15,,99'07/31,,99'08/18,15,0.55,0,0.55,0.14,0.31,0.45,1
22,1215,1998,1997全年,98'06/05,98'07/23,,98'07/31,7,,98'07/23,,98'07/31,7,0.5,0,0.5,0,0.5,0.5,1
23,1215,1997,1996全年,97'05/28,,,,,,97'08/05,,97'12/31,116,0,0,0,0.5,0.5,1,1
24,1215,1996,1995全年,96'06/05,96'08/01,,96'08/02,1,,96'08/01,,96'08/02,1,0.5,0,0.5,0,0.6,0.6,1.1
25,1215,1995,1994全年,95'06/13,,,,,,,,,,0.5,0,0.5,0,0.5,0.5,1
26,1215,1994,1993全年,94'05/23,,,,,,94'08/13,24.79,94'09/15,29,0,0,0,0.5,0.5,1,1
27,1215,1993,1992全年,93'06/08,,,,,,93'08/13,,93'11/02,65,0,0,0,0,1,1,1
28,1215,1992,1991全年,92'06/04,,,,,,92'08/15,,93'03/10,154,0,0,0,0,1.1,1.1,1.1
29,1215,1991,1990全年,91'05/17,,,,,,,,,,0,0,0,0,0,0,0
30,1215,1990,1989全年,90'06/11,,,,,,,,,,0,0,0,0,0,0,0
31,1215,1989,1988全年,,,,,,,,,,,0,0,0,0,2,2,2
32,1215,1988,1987全年,,,,,,,,,,,0,0,0,4,0,4,4
33,1215,1987,1986全年,,,,,,,,,,,2.1,0,2.1,0,0,0,2.1
34,1215,1986,1985全年,,,,,,,,,,,1,0,1,0.2,0,0.2,1.2
35,1215,1985,1984全年,,,,,,,,,,,0,0,0,1.7,0,1.7,1.7
36,1215,1984,1983全年,,,,,,,,,,,0,0,0,1.1,1.1,2.2,2.2
