ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2430,2020,2019全年,20'06/03,20'06/19,18.2,20'06/30,6,20'07/08,,,,,1,0,1,0,0,0,1
1,2430,2019,2018全年,19'04/19,19'05/08,20.05,21'01/04,410,19'05/22,,,,,0.9,0,0.9,0,0,0,0.9
2,2430,2018,2017全年,18'04/20,18'05/09,23.55,18'06/01,18,18'05/23,,,,,1.36,0,1.36,0,0,0,1.36
3,2430,2017,2016全年,17'04/21,17'05/10,28.8,,,17'05/24,,,,,2,0,2,0,0,0,2
4,2430,2016,2015全年,16'04/22,16'05/11,24.4,16'06/07,21,16'05/25,,,,,1.21,0,1.21,0,0,0,1.21
5,2430,2015,2014全年,15'06/30,15'08/04,21.95,15'08/11,6,15'08/19,,,,,0.4,0,0.4,0,0,0,0.4
6,2430,2014,2013全年,14'04/18,14'05/08,41.3,,,,,,,,2,0,2,0,0,0,2
7,2430,2013,2012全年,13'04/19,13'05/09,48.6,,,,,,,,2,0,2,0,0,0,2
8,2430,2012,2011全年,12'04/13,12'05/10,67.5,,,,,,,,4.5,0,4.5,0,0,0,4.5
9,2430,2011,2010全年,11'04/14,11'05/10,60.5,11'07/28,57,,,,,,4.5,0,4.5,0,0,0,4.5
10,2430,2010,2009全年,10'04/16,10'05/04,73.6,,,,10'07/22,57.3,11'07/28,254,3,0,3,1.5,0,1.5,4.5
11,2430,2009,2008全年,09'04/20,09'05/07,25.65,09'05/19,9,,,,,,1.5,0,1.5,0,0,0,1.5
12,2430,2008,2007全年,08'05/27,08'06/12,43.9,09'12/02,348,,08'07/16,27.95,09'07/29,259,0.5,0,0.5,3,0,3,3.5
13,2430,2007,2006全年,,,,,,,,,,,0,0,0,0,0,0,0
14,2430,2006,2005全年,06'06/14,06'07/12,40.35,06'07/27,12,,06'08/15,38.85,06'08/15,1,2.2,0,2.2,0.1,0,0.1,2.3
15,2430,2005,2004全年,05'06/14,05'07/15,50.1,05'09/02,33,,05'08/02,45.05,05'08/10,6,2.4,0,2.4,0.8,0,0.8,3.2
16,2430,2004,2003全年,04'05/11,04'06/10,44.1,05'07/05,265,,04'08/06,34.7,04'08/06,1,2.2,0,2.2,0.15,0,0.15,2.35
17,2430,2003,2002全年,03'05/22,03'06/10,42.4,03'06/18,7,,,,,,2,0,2,0,0,0,2
18,2430,2002,2001全年,02'06/28,,,,,,,,,,1,0,1,0,0,0,1
19,2430,2001,2000全年,01'06/28,,,,,,01'08/23,,01'12/06,71,0,0,0,1,1,2,2
20,2430,2000,1999全年,00'06/16,,,,,,00'08/09,41.93,01'03/01,146,0,0,0,2.52,0,2.52,2.52
21,2430,1999,1998全年,99'06/15,,,,,,99'10/16,,99'12/06,40,0,0,0,2.4,0.9,3.3,3.3
22,2430,1998,1997全年,98'06/02,,,,,,98'08/20,81.5,,,0,0,0,6.1,0.4,6.5,6.5
23,2430,1997,1996全年,97'06/04,,,,,,97'07/21,123,97'08/26,31,0,0,0,2.5,0,2.5,2.5
24,2430,1996,1995全年,,,,,,,,,,,0.5,0,0.5,2.5,0,2.5,3
25,2430,1995,1994全年,,,,,,,,,,,0,0,0,6,1.8,7.8,7.8
26,2430,1994,1993全年,,,,,,,,,,,1,0,1,0,0,0,1
27,2430,1993,1992全年,,,,,,,,,,,0,0,0,0,0,0,0
