ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,1717,2020,2019全年,20'06/18,20'07/09,32.9,20'08/04,19,20'08/07,,,,,1.4,0,1.4,0,0,0,1.4
1,1717,2019,2018全年,19'06/26,19'07/16,25.75,19'07/22,5,19'08/09,,,,,0.9,0,0.9,0,0,0,0.9
2,1717,2018,2017全年,18'06/20,18'07/26,25.85,20'01/16,364,18'08/30,18'07/26,25.85,20'01/16,364,0.5,0,0.5,0.7,0,0.7,1.2
3,1717,2017,2016全年,17'06/15,17'08/03,31.15,20'05/28,689,17'09/08,17'08/03,31.15,20'05/28,689,1.5,0,1.5,0.5,0,0.5,2
4,1717,2016,2015全年,16'06/15,16'07/21,31.15,16'08/26,27,16'08/25,16'07/21,31.15,16'08/26,27,1.5,0,1.5,0.8,0,0.8,2.3
5,1717,2015,2014全年,15'06/10,15'07/02,31.1,16'03/02,163,15'08/06,,,,,1.8,0,1.8,0,0,0,1.8
6,1717,2014,2013全年,14'06/11,14'08/04,32.85,15'04/30,182,14'09/12,14'08/04,32.85,15'04/30,182,1.4,0,1.4,0.3,0,0.3,1.7
7,1717,2013,2012全年,13'06/20,13'07/10,24.25,13'07/16,5,,,,,,1.1,0,1.1,0,0,0,1.1
8,1717,2012,2011全年,12'06/05,12'06/28,21.7,12'07/03,4,,,,,,1,0,1,0,0,0,1
9,1717,2011,2010全年,11'06/09,11'07/15,29.5,14'03/12,658,,11'07/15,29.5,14'03/12,658,1.5,0,1.5,0.5,0,0.5,2
10,1717,2010,2009全年,10'06/15,10'07/21,30.65,10'08/09,14,,10'08/11,30.95,10'09/13,24,2.2,0,2.2,0.5,0,0.5,2.7
11,1717,2009,2008全年,09'06/10,09'06/30,22.95,09'07/10,9,,09'07/21,26.25,09'07/28,6,1.5,0,1.5,0.1,0,0.1,1.6
12,1717,2008,2007全年,08'06/13,08'07/08,22.8,08'07/11,4,,08'08/14,24.4,09'05/07,181,1.4,0,1.4,1,0,1,2.4
13,1717,2007,2006全年,07'05/24,07'07/04,44.6,07'07/26,17,,07'07/04,44.6,07'07/26,17,1.2,0,1.2,1.2,0,1.2,2.4
14,1717,2006,2005全年,06'06/09,06'07/17,43.2,06'07/31,11,,06'07/17,43.2,06'07/31,11,1.2,0,1.2,1,0,1,2.2
15,1717,2005,2004全年,05'04/13,05'04/28,19.3,05'05/03,3,,05'07/28,18.2,05'09/13,32,0.8,0,0.8,1,0,1,1.8
16,1717,2004,2003全年,04'04/14,04'05/04,19,04'08/06,68,,,,,,1,0,1,0,0,0,1
17,1717,2003,2002全年,03'04/16,03'05/06,16,03'05/13,6,,,,,,1.4,0,1.4,0,0,0,1.4
18,1717,2002,2001全年,02'04/15,02'05/02,26.9,02'05/09,6,,02'06/25,24.2,02'07/15,15,0.5,0,0.5,0.5,0,0.5,1
19,1717,2001,2000全年,01'05/11,01'06/21,14.25,01'12/04,112,,01'06/21,14.25,01'12/04,112,0.5,0,0.5,0.8,0.2,1,1.5
20,1717,2000,1999全年,00'05/10,,,,,,,,,,0.5,0,0.5,1.88,0.12,2,2.5
21,1717,1999,1998全年,,,,,,,,,,,0.5,0,0.5,1.7,0.3,2,2.5
22,1717,1998,1997全年,98'04/10,,,,,,,,,,0,0,0,2.2,0.8,3,3
23,1717,1997,1996全年,97'05/15,,,,,,97'07/10,60.5,97'09/01,44,0,0,0,2.2,0.8,3,3
24,1717,1996,1995全年,,,,,,,,,,,0,0,0,1,1,2,2
25,1717,1995,1994全年,95'04/28,,,,,,95'06/29,42.4,96'11/14,398,0,0,0,1.5,1,2.5,2.5
26,1717,1994,1993全年,94'04/25,,,,,,,,,,0,0,0,2.5,0,2.5,2.5
27,1717,1993,1992全年,,,,,,,,,,,0,0,0,2.5,0,2.5,2.5
28,1717,1992,1991全年,92'04/25,92'05/30,,,,,92'07/05,,,,1,0,1,2,0,2,3
