ID,sid,股利發放年度,股利所屬盈餘期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費日數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費日數,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計
0,2603,2020,2019全年,20'06/24,,,,,,,,,,0,0,0,0,0,0,0
1,2603,2019,2018全年,19'06/21,,,,,,,,,,0,0,0,0,0,0,0
2,2603,2018,2017全年,18'06/21,18'08/29,12.7,19'04/22,155,18'09/27,18'08/29,12.7,19'04/22,155,0.2,0,0.2,0.5,0,0.5,0.7
3,2603,2017,2016全年,17'06/22,,,,,,,,,,0,0,0,0,0,0,0
4,2603,2016,2015全年,16'06/22,,,,,,,,,,0,0,0,0,0,0,0
5,2603,2015,2014全年,15'06/17,15'07/23,15.95,15'07/23,1,15'08/28,15'07/23,15.95,15'07/23,1,0.1,0,0.1,0.1,0,0.1,0.2
6,2603,2014,2013全年,14'06/18,,,,,,,,,,0,0,0,0,0,0,0
7,2603,2013,2012全年,13'06/14,,,,,,,,,,0,0,0,0,0,0,0
8,2603,2012,2011全年,12'06/15,,,,,,,,,,0,0,0,0,0,0,0
9,2603,2011,2010全年,11'06/24,11'09/01,16,12'02/03,103,,11'09/01,16,12'02/03,103,1,0,1,1,0,1,2
10,2603,2010,2009全年,10'06/18,,,,,,,,,,0,0,0,0,0,0,0
11,2603,2009,2008全年,09'06/19,,,,,,,,,,0,0,0,0,0,0,0
12,2603,2008,2007全年,08'06/18,08'07/30,20.5,10'07/02,482,,,,,,1.7,0,1.7,0,0,0,1.7
13,2603,2007,2006全年,07'06/27,07'07/31,20.9,07'07/31,1,,,,,,0.3,0,0.3,0,0,0,0.3
14,2603,2006,2005全年,06'06/23,06'08/14,19.05,07'04/10,160,,06'08/14,19.05,07'04/10,160,1.8,0,1.8,0.7,0,0.7,2.5
15,2603,2005,2004全年,05'06/23,05'08/18,22.75,07'09/26,522,,05'08/18,22.75,07'09/26,522,2,0,2,1,0,1,3
16,2603,2004,2003全年,04'06/24,04'09/14,32.5,04'10/01,13,,04'09/14,32.5,04'10/01,13,0.6,0,0.6,0.6,0,0.6,1.2
17,2603,2003,2002全年,03'06/20,03'08/06,22.3,03'08/06,1,,03'08/06,22.3,03'08/06,1,0.2,0,0.2,0.2,0,0.2,0.4
18,2603,2002,2001全年,02'06/21,02'07/31,15.1,02'07/31,1,,02'07/31,15.1,02'07/31,1,0.3,0,0.3,0.3,0,0.3,0.6
19,2603,2001,2000全年,01'06/20,01'09/07,14.9,02'02/01,100,,01'09/07,14.9,02'02/01,100,0.4,0,0.4,0.2,0,0.2,0.6
20,2603,2000,1999全年,00'06/20,,,,,,00'08/18,21.48,00'11/04,60,0,0,0,0.8,0,0.8,0.8
21,2603,1999,1998全年,99'06/22,,,,,,99'08/04,,99'08/17,11,0,0,0,0.8,0,0.8,0.8
22,2603,1998,1997全年,,,,,,,,,,,0.5,0,0.5,0.3,0,0.3,0.8
23,2603,1997,1996全年,,,,,,,,,,,1,0,1,0,0.7,0.7,1.7
24,2603,1996,1995全年,,,,,,,,,,,0.5,0,0.5,0.5,0.7,1.2,1.7
25,2603,1995,1994全年,,,,,,,,,,,0.5,0,0.5,1,0,1,1.5
26,2603,1994,1993全年,94'05/07,,,,,,94'08/20,43.3,94'08/23,3,0,0,0,1.5,0,1.5,1.5
27,2603,1993,1992全年,93'05/08,93'06/01,,93'06/02,2,,93'10/01,35.45,93'11/02,25,1,0,1,1,0,1,2
28,2603,1992,1991全年,92'05/09,92'05/25,,92'05/25,1,,,,,,1.5,0,1.5,0,0,0,1.5
29,2603,1991,1990全年,91'05/11,91'05/29,,91'05/29,1,,,,,,1,0,1,0,0,0,1
30,2603,1990,1989全年,,,,,,,,,,,1.5,0,1.5,0,0,0,1.5
31,2603,1989,1988全年,,,,,,,,,,,1.5,0,1.5,0,0,0,1.5
32,2603,1988,1987全年,,,,,,,,,,,1.5,0,1.5,1,0,1,2.5
33,2603,1986,1985全年,,,,,,,,,,,0.5,0,0.5,0,0,0,0.5
34,2603,1985,1984全年,,,,,,,,,,,2,0,2,3.5,0,3.5,5.5
